YEAR,STATAREA,SEC_POOL,LOC_CODE,LENGTH,WIDTH,LAYERS,COVER,POSITION,METHOD,START_DA,START_MO,END_DAY,END_MON,STARTDOY,SUBAREA,LOC_NAME,POOL,keyposit,keywidth,keylayer,loc_lat,loc_long,SPAINDEX,REGION,YRREGION,TONNES,SECTION,POOLCOEFF,SECTCOEFF,BOOTCOEFF,LOWER_CI,UPPER_CI,SPWNCOEFF,Nonassess,TSpawners,SALI,SST,Lighthse
1929,17,1734,957,,35,5.3,100,112,0,5,3,5,4,64,3,Telegraph Hrbr,4,112,35,2.85,48.9682,-123.655,0,SOG,19295,,173,28.75,26.11,96.6,72.203,126.301,38.6081314,0,,,,Entrance_Is
1929,17,1734,970,,23,5.3,100,124.8,0,5,3,5,4,64,3,Clam Bay,4,124.8,23,2.96,48.99,-123.668,0,SOG,19295,,173,28.75,26.11,96.6,72.203,126.301,38.6081314,0,,,,Entrance_Is
1929,17,1734,970,,23,2.74,100,124.8,0,2,3,,,61,3,Clam Bay,4,124.8,23,2.96,48.99,-123.668,0,SOG,19295,,173,28.75,26.11,96.6,72.203,126.301,38.6081314,0,,,,Entrance_Is
1929,17,1737,977,,27,2.74,100,190.7,0,5,3,5,4,64,3,Hospital Pt (Chemainus),7,190.7,27,5.3,48.9233,-123.689,0,SOG,19295,,173,121.9,26.11,120.602,69.835,184.064,47.57117426,0,,,,Entrance_Is
1929,18,1812,1007,,14,2.74,100,64.5,0,10,2,5,3,41,1,Fulford Hrbr,2,64.5,14,1.34,48.7573,-123.447,0,SOG,19295,,181,12.06,12.06,44.865,24.185,68.932,19.28878209,0,,,,Active_Pass
1929,18,1813,1050,,18,2.74,100,81.7,0,10,2,5,3,41,1,Ganges Hrbr,3,81.7,18,1.34,48.8468,-123.485,0,SOG,19295,,181,12.06,12.06,37.14,32.629,42.078,16.40404306,0,,,,Active_Pass
1929,25,2522,2252,,18,4.02,100,999,0,15,3,,,74,2,Unknown Sec 252,2,999,18,4.02,49.7667,-126.433,0,WCVI,19296,,252,26.64,26.64,62.074,51.743,74.204,25.71512175,0,,,,Nootka_Pt
1929,25,2532,1272,,5,2.74,100,19,0,,,,,,3,Harbour Is,2,19,5,2.04,49.86,-127,0,WCVI,19296,,253,21.2,53.28,65.535,36.061,102.856,27.00755952,0,,,,Nootka_Pt
1929,25,2533,1255,,9,5.3,100,46.2,0,15,3,,,74,3,Esperanza Inlt,3,46.2,9,5.3,49.8591,-126.864,0,WCVI,19296,,253,26.5,53.28,83.671,55.57,117.138,33.78006786,0,,,,Nootka_Pt
1929,26,2611,1291,,14,2.74,100,999,0,11,3,,,70,1,Blind Entr +,1,999,14,2.74,50.0383,-127.3,0,NON,19290,,261,,47.7,,,,20.3474533,0,,,,Nootka_Pt
1929,26,2612,1289,,14,7.83,100,87,0,14,3,15,3,73,1,Amai (Deep) Inlt,2,87,14,2.74,50.0252,-127.083,0,NON,19290,,261,47.7,47.7,76.472,41.436,122.329,31.09175249,0,,,,Nootka_Pt
1929,26,2621,1296,,25,5.3,100,47,0,17,3,18,3,76,2,Clanninick Cv,1,47,25,2.74,50.031,-127.403,0,NON,19290,,262,37,30.82,71.172,55.652,87.942,29.11257879,0,,,,Nootka_Pt
1929,26,2622,1295,,5,2.74,100,64,0,11,3,,,70,2,Amos Is,2,64,5,1.34,50.0194,-127.35,0,NON,19290,,262,24.66,30.82,59.097,40.134,81.198,24.60342361,0,,,,Nootka_Pt
1929,26,2623,1418,,168,5.3,100,69,0,17,3,,,76,2,Spring Is,3,69,168,4.1,50.005,-127.45,0,NON,19290,,262,96.34,30.82,,,,14.04397178,0,,,,Nootka_Pt
1929,26,2633,1306,,15,5.3,100,13.5,0,13,3,,,72,3,Bunsby Is,3,13.5,15,4.13,50.1,-127.55,0,NON,19290,,263,33.5,29.6,51.178,41.098,61.948,21.64623936,0,,,,Nootka_Pt
