"state","year","t","lambda_max"
"biomass_all11_hi80",1968,18,1.01230216380289
"biomass_all11_hi80",1969,19,1.01351196081297
"biomass_all11_hi80",1970,20,1.01376189452104
"biomass_all11_hi80",1971,21,1.00636885696755
"biomass_all11_hi80",1972,22,1.02151075640851
"biomass_all11_hi80",1973,23,1.02741097306764
"biomass_all11_hi80",1974,24,1.02026814039354
"biomass_all11_hi80",1975,25,1.03178326408218
"biomass_all11_hi80",1976,26,1.01586242494621
"biomass_all11_hi80",1977,27,0.953961611386229
"biomass_all11_hi80",1978,28,0.801892741313178
"biomass_all11_hi80",1979,29,0.806416500251069
"biomass_all11_hi80",1980,30,0.723347303143744
"biomass_all11_hi80",1981,31,0.995746998102675
"biomass_all11_hi80",1982,32,1.05075625497353
"biomass_all11_hi80",1983,33,1.02778502747989
"biomass_all11_hi80",1984,34,1.07352917447649
"biomass_all11_hi80",1985,35,1.04288967945743
"biomass_all11_hi80",1986,36,1.03842810599688
"biomass_all11_hi80",1987,37,1.01523496514182
"biomass_all11_hi80",1988,38,1.01804135839707
"biomass_all11_hi80",1989,39,1.01759230459142
"biomass_all11_hi80",1990,40,1.01634329534424
"biomass_all11_hi80",1991,41,1.02190533451084
"biomass_all11_hi80",1992,42,1.03668552323332
"biomass_all11_hi80",1993,43,1.0275540404791
"biomass_all11_hi80",1994,44,1.01342572668948
"biomass_all11_hi80",1995,45,1.01418434001756
"biomass_all11_hi80",1996,46,1.01136916061512
"biomass_all11_hi80",1997,47,1.00921075856665
"biomass_all11_hi80",1998,48,0.995567558174099
"biomass_all11_hi80",1999,49,1.00844440632483
"biomass_all11_hi80",2000,50,0.997562671061758
"biomass_all11_hi80",2001,51,1.00980718770836
"biomass_all11_hi80",2002,52,0.984480474243647
"biomass_all11_hi80",2003,53,1.02948525243297
"biomass_all11_hi80",2004,54,1.00664982837025
"biomass_all11_hi80",2005,55,1.00776110380559
"biomass_all11_hi80",2006,56,1.01648312267249
"biomass_all11_hi80",2007,57,1.01942257541455
"biomass_all11_hi80",2008,58,1.01798324132653
"biomass_all11_hi80",2009,59,1.01970362783999
"biomass_all11_hi80",2010,60,1.03790205588367
"biomass_all11_hi80",2011,61,1.02702844102226
"biomass_all11_hi80",2012,62,0.948795083145966
"biomass_all11_hi80",2013,63,0.71836608409092
"biomass_all11_hi80",2014,64,0.764075252574997
"biomass_all11_hi80",2015,65,0.83073741076872
"biomass_all11_hi80",2016,66,1.20261171970588
"biomass_all11_hi80",2017,67,0.998161706277336
"biomass_all11_hi80",2018,68,1.06699372091942
"biomass_all11_hi80",2019,69,1.11340094956668
"biomass_all11_hi80",2020,70,1.25215778128191
"biomass_all11_hi80",2021,71,1.37493431315795
"biomass_all11_hi80",2022,72,1.39271658762301
"biomass_all11_hi80",2023,73,1.30268223654329
"biomass_all11_hi80",2024,74,1.44948698267551
"biomass_all11_hi80",2025,75,1.31869693718793
