time,zlev,latitude,longitude,sst,anom
UTC,m,degrees_north,degrees_east,degree_C,degree_C
2022-08-22T12:00:00Z,0.0,52.375,-130.625,15.51,1.59
2022-08-22T12:00:00Z,0.0,52.375,-130.375,15.25,1.37
2022-08-22T12:00:00Z,0.0,52.375,-130.125,15.0,1.17
2022-08-22T12:00:00Z,0.0,52.375,-129.875,14.82,1.04
2022-08-22T12:00:00Z,0.0,52.375,-129.625,14.78,1.05
2022-08-22T12:00:00Z,0.0,52.375,-129.375,14.92,1.22
2022-08-22T12:00:00Z,0.0,52.375,-129.125,15.27,1.59
2022-08-22T12:00:00Z,0.0,52.625,-132.875,15.75,1.76
2022-08-22T12:00:00Z,0.0,52.625,-132.625,15.75,1.78
2022-08-22T12:00:00Z,0.0,52.625,-132.375,15.84,1.87
2022-08-22T12:00:00Z,0.0,52.625,-132.125,15.99,2.04
2022-08-22T12:00:00Z,0.0,52.625,-131.875,16.1,2.16
2022-08-22T12:00:00Z,0.0,52.625,-131.625,NaN,NaN
2022-08-22T12:00:00Z,0.0,52.625,-131.375,16.18,2.27
2022-08-22T12:00:00Z,0.0,52.625,-131.125,16.02,2.14
2022-08-22T12:00:00Z,0.0,52.625,-130.875,15.79,1.94
2022-08-22T12:00:00Z,0.0,52.625,-130.625,15.39,1.57
2022-08-22T12:00:00Z,0.0,52.625,-130.375,14.96,1.18
2022-08-22T12:00:00Z,0.0,52.625,-130.125,14.57,0.83
2022-08-22T12:00:00Z,0.0,52.625,-129.875,14.41,0.72
2022-08-22T12:00:00Z,0.0,52.625,-129.625,14.47,0.81
2022-08-22T12:00:00Z,0.0,52.625,-129.375,14.65,1.03
2022-08-22T12:00:00Z,0.0,52.625,-129.125,15.01,1.41
2022-08-22T12:00:00Z,0.0,52.875,-132.875,15.72,1.86
2022-08-22T12:00:00Z,0.0,52.875,-132.625,15.77,1.92
2022-08-22T12:00:00Z,0.0,52.875,-132.375,15.88,2.04
2022-08-22T12:00:00Z,0.0,52.875,-132.125,NaN,NaN
2022-08-22T12:00:00Z,0.0,52.875,-131.875,NaN,NaN
2022-08-22T12:00:00Z,0.0,52.875,-131.625,NaN,NaN
2022-08-22T12:00:00Z,0.0,52.875,-131.375,16.31,2.52
2022-08-22T12:00:00Z,0.0,52.875,-131.125,16.03,2.27
2022-08-22T12:00:00Z,0.0,52.875,-130.875,15.51,1.78
2022-08-22T12:00:00Z,0.0,52.875,-130.625,14.89,1.18
2022-08-22T12:00:00Z,0.0,52.875,-130.375,14.32,0.64
2022-08-22T12:00:00Z,0.0,52.875,-130.125,13.94,0.28
